Timestamp,ID,Temp,Humidity,CO,NOX,HEATER ON
11:10:08,606405AA0DCB,21.724,34.912,10,2047,1
11:10:12,606405AA0DCB,21.845,34.912,9,2047,1
11:10:17,606405AA0DCB,21.905,34.808,8,2047,1
11:10:22,606405AA0DCB,22.056,34.692,7,2047,1
11:10:27,606405AA0DCB,22.217,34.479,6,2047,1
11:10:32,606405AA0DCB,22.348,34.277,6,2047,1
11:10:37,606405AA0DCB,-1000.000,33.960,6,2047,1
11:10:42,606405AA0DCB,22.550,33.765,5,2047,1
11:10:48,606405AA0DCB,22.771,33.545,5,2047,1
11:10:53,606405AA0DCB,22.862,33.234,5,2047,1
11:10:58,606405AA0DCB,22.983,33.032,5,2047,1
11:11:03,606405AA0DCB,23.094,32.819,5,2047,1
11:11:08,606405AA0DCB,23.456,33.398,2047,2047,1
11:11:13,606405AA0DCB,24.000,34.363,4,2047,1
11:11:18,606405AA0DCB,23.899,33.167,4,2047,1
11:11:24,606405AA0DCB,23.869,33.466,4,2047,1
11:11:29,606405AA0DCB,23.909,32.373,4,2047,1
11:11:34,606405AA0DCB,24.060,32.056,4,2047,1
11:11:39,606405AA0DCB,24.060,31.360,4,2047,1
11:11:44,606405AA0DCB,24.091,30.963,4,2047,1
11:11:49,606405AA0DCB,24.312,33.630,4,2047,1
11:11:54,606405AA0DCB,24.463,41.296,4,2047,1
11:11:59,606405AA0DCB,24.403,36.023,4,2047,1
11:12:05,606405AA0DCB,24.493,33.533,4,2047,1
11:12:10,606405AA0DCB,24.433,31.641,4,2047,1
11:12:15,606405AA0DCB,24.554,30.731,4,2046,1
11:12:20,606405AA0DCB,24.715,30.334,4,2037,1
11:12:25,606405AA0DCB,24.685,30.035,4,2025,1
11:12:30,606405AA0DCB,24.725,29.840,4,2014,1
11:12:35,606405AA0DCB,24.836,29.724,4,2004,1
11:12:40,606405AA0DCB,24.906,29.523,6,1994,1
11:12:46,606405AA0DCB,25.027,29.413,4,1985,1
11:12:51,606405AA0DCB,25.057,29.309,4,1976,1
11:12:56,606405AA0DCB,25.229,29.199,4,1967,1
11:13:01,606405AA0DCB,25.178,29.114,4,1959,1
11:13:06,606405AA0DCB,25.269,28.900,4,1951,1
11:13:11,606405AA0DCB,25.329,28.802,4,1943,1
11:13:16,606405AA0DCB,25.420,28.802,4,1936,1
11:13:21,606405AA0DCB,25.500,28.589,4,1929,1
11:13:27,606405AA0DCB,25.470,28.491,4,1922,1
11:13:32,606405AA0DCB,25.601,28.491,4,1916,1
